00<HP Recovery
A5<UNKNOWN 0xA5
A6<UNKNOWN 0xA6
A7<UNKNOWN 0xA7
A8<UNKNOWN 0xA8
A9<UNKNOWN 0xA9
AA<UNKNOWN 0xAA
AB<UNKNOWN 0xAB
AC<UNKNOWN 0xAC
AD<UNKNOWN 0xAD
AE<UNKNOWN 0xAE
AF<UNKNOWN 0xAF
B0<UNKNOWN 0xB0
B1<UNKNOWN 0xB1
B2<UNKNOWN 0xB2
B3<UNKNOWN 0xB3
B4<UNKNOWN 0xB4
B5<UNKNOWN 0xB5
B6<UNKNOWN 0xB6
B7<UNKNOWN 0xB7
B8<UNKNOWN 0xB8
B9<UNKNOWN 0xB9
BA<UNKNOWN 0xBA
BB<UNKNOWN 0xBB
BC<UNKNOWN 0xBC
BD<UNKNOWN 0xBD
BE<UNKNOWN 0xBE
BF<UNKNOWN 0xBF
C0<UNKNOWN 0xC0
C1<UNKNOWN 0xC1
C2<UNKNOWN 0xC2
C3<UNKNOWN 0xC3
C4<UNKNOWN 0xC4
C5<UNKNOWN 0xC5
C6<UNKNOWN 0xC6
C7<UNKNOWN 0xC7
C8<UNKNOWN 0xC8
C9<UNKNOWN 0xC9
CA<UNKNOWN 0xCA
CB<UNKNOWN 0xCB
CC<UNKNOWN 0xCC
CD<UNKNOWN 0xCD
CE<UNKNOWN 0xCE
CF<UNKNOWN 0xCF
D0<UNKNOWN 0xD0
D1<UNKNOWN 0xD1
D2<UNKNOWN 0xD2
D3<UNKNOWN 0xD3
D4<UNKNOWN 0xD4
D5<UNKNOWN 0xD5
D6<UNKNOWN 0xD6
D7<UNKNOWN 0xD7
D8<UNKNOWN 0xD8
D9<UNKNOWN 0xD9
DA<UNKNOWN 0xDA
DB<UNKNOWN 0xDB
DC<UNKNOWN 0xDC
DD<UNKNOWN 0xDD
DE<UNKNOWN 0xDE
DF<UNKNOWN 0xDF
E0<UNKNOWN 0xE0
E1<UNKNOWN 0xE1
E2<UNKNOWN 0xE2
E3<UNKNOWN 0xE3
E4<UNKNOWN 0xE4
E5<UNKNOWN 0xE5
E6<UNKNOWN 0xE6
E7<UNKNOWN 0xE7
E8<UNKNOWN 0xE8
E9<UNKNOWN 0xE9
EA<UNKNOWN 0xEA
EB<UNKNOWN 0xEB
EC<UNKNOWN 0xEC
ED<UNKNOWN 0xED
EE<UNKNOWN 0xEE
EF<UNKNOWN 0xEF
F0<UNKNOWN 0xF0
F1<UNKNOWN 0xF1
F2<UNKNOWN 0xF2
F3<UNKNOWN 0xF3
F4<UNKNOWN 0xF4
F5<UNKNOWN 0xF5
F6<UNKNOWN 0xF6
F7<UNKNOWN 0xF7
F8<UNKNOWN 0xF8
F9<UNKNOWN 0xF9
FA<UNKNOWN 0xFA
FB<UNKNOWN 0xFB
FC<UNKNOWN 0xFC
FD<UNKNOWN 0xFD
FE<UNKNOWN 0xFE
FF<Immune
